STATE,ST,TIMEZONE,TZ
Baranya,BA,Central European Time,CET
Békéscsaba,BC,Central European Time,CET
Békés,BE,Central European Time,CET
Bács-Kiskun,BK,Central European Time,CET
Budapest,BU,Central European Time,CET
Borsod-Abaúj-Zemplén,BZ,Central European Time,CET
Csongrád,CS,Central European Time,CET
Debrecen,DE,Central European Time,CET
Dunaújváros,DU,Central European Time,CET
Eger,EG,Central European Time,CET
Érd,ER,Central European Time,CET
Fejér,FE,Central European Time,CET
Gyor-Moson-Sopron,GS,Central European Time,CET
Gyor,GY,Central European Time,CET
Hajdú-Bihar,HB,Central European Time,CET
Heves,HE,Central European Time,CET
Hódmezovásárhely,HV,Central European Time,CET
Jász-Nagykun-Szolnok,JN,Central European Time,CET
Komárom-Esztergom,KE,Central European Time,CET
Kecskemét,KM,Central European Time,CET
Kaposvár,KV,Central European Time,CET
Miskolc,MI,Central European Time,CET
Nagykanizsa,NK,Central European Time,CET
Nógrád,NO,Central European Time,CET
Nyíregyháza,NY,Central European Time,CET
Pest,PE,Central European Time,CET
Pécs,PS,Central European Time,CET
Szeged,SD,Central European Time,CET
Székesfehérvár,SF,Central European Time,CET
Szombathely,SH,Central European Time,CET
Szolnok,SK,Central European Time,CET
Sopron,SN,Central European Time,CET
Somogy,SO,Central European Time,CET
Szekszárd,SS,Central European Time,CET
Salgótarján,ST,Central European Time,CET
Szabolcs-Szatmár-Bereg,SZ,Central European Time,CET
Tatabánya,TB,Central European Time,CET
Tolna,TO,Central European Time,CET
Vas,VA,Central European Time,CET
Veszprém,VE,Central European Time,CET
Veszprém,VM,Central European Time,CET
Zala,ZA,Central European Time,CET
Zalaegerszeg,ZE,Central European Time,CET
