,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
49,,,Berloz,WAL,,Berloz,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Bernissart,WAL,,Bernissart,11588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Bertem,VLG,,Bertem,9215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Bertogne,WAL,,Bertogne,2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,Bertrix,WAL,,Bertrix,8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Bever,VLG,,Bever,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Beveren,VLG,,Beveren,45179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Beyne-Heusay,WAL,,Beyne-Heusay,11608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Bierbeek,VLG,,Bierbeek,8994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Bilzen,VLG,,Bilzen,29622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Binche,WAL,,Binche,32030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,Bièvre,WAL,,Bièvre,3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,Blankenberge,VLG,,Blankenberge,18230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,Blégny,WAL,,Blégny,12745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,Bocholt,VLG,,Bocholt,12346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,Boechout,VLG,,Boechout,12145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,Bonheiden,VLG,,Bonheiden,14260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Boom,VLG,,Boom,15810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,Boortmeerbeek,VLG,,Boortmeerbeek,11570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,Borgloon,VLG,,Borgloon,9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Bornem,VLG,,Bornem,19997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,Borsbeek,VLG,,Borsbeek,10334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,Bouillon,WAL,,Bouillon,5347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Boussu,WAL,,Boussu,20058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Boutersem,VLG,,Boutersem,7702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Braine-l'Alleud,WAL,,Braine-l'Alleud,37512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Braine-le-Château,WAL,,Braine-le-Château,9627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Braine-le-Comte,WAL,,Braine-le-Comte,20133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Braives,WAL,,Braives,5672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Brasschaat,VLG,,Brasschaat,37040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,Brecht,VLG,,Brecht,25908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,Bredene,VLG,,Bredene,14862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,Bree,VLG,,Bree,14363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,Brugelette,WAL,,Brugelette,3358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Brugge,VLG,,Brugge,116709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,Brunehault,WAL,,Brunehault,7592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,Brussels,BRU,,Brussels,1019022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,Buggenhout,VLG,,Buggenhout,13510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,Bullange,WAL,,Bullange,5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,Burdinne,WAL,,Burdinne,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Butgenbach,WAL,,Butgenbach,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,Celles,WAL,,Celles,5471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,Cerfontaine,WAL,,Cerfontaine,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
