STATE,ST,TIMEZONE,TZ
Zagrebacka županija,01,Central European Time,CET
Krapinsko-zagorska županija,02,Central European Time,CET
Sisacko-moslavacka županija,03,Central European Time,CET
Karlovacka županija,04,Central European Time,CET
Varaždinska županija,05,Central European Time,CET
Koprivnicko-križevacka županija,06,Central European Time,CET
Bjelovarsko-bilogorska županija,07,Central European Time,CET
Primorsko-goranska županija,08,Central European Time,CET
Licko-senjska županija,09,Central European Time,CET
Viroviticko-podravska županija,10,Central European Time,CET
Požeško-slavonska županija,11,Central European Time,CET
Brodsko-posavska županija,12,Central European Time,CET
Zadarska županija,13,Central European Time,CET
Osjecko-baranjska županija,14,Central European Time,CET
Šibensko-kninska županija,15,Central European Time,CET
Vukovarsko-srijemska županija,16,Central European Time,CET
Splitsko-dalmatinska županija,17,Central European Time,CET
Istarska županija,18,Central European Time,CET
Dubrovacko-neretvanska županija,19,Central European Time,CET
Medimurska županija,20,Central European Time,CET
Grad Zagreb,21,Central European Time,CET
