,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
112566,,,Koknese,82,,Koknese,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112564,,,Krustpils,10,,Krustpils,6680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112565,,,Krāslava,14,,Krāslava,11088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112563,,,Kuldīga,15,,Kuldīga,13289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112570,,,Kārsava,78,,Kārsava,2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112561,,,Lielvārde,87,,Lielvārde,5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112560,,,Liepāja,16,,Liepāja,85132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112562,,,Lieģi,61,,Lieģi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112558,,,Limbaži,18,,Limbaži,8974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112556,,,Loja,C6,,Loja,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112555,,,Lubāna,91,,Lubāna,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112554,,,Ludza,19,,Ludza,10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112559,,,Līgatne,88,,Līgatne,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112557,,,Līvāni,90,,Līvāni,10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112553,,,Madona,20,,Madona,9280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112551,,,Matīši,52,,Matīši,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112550,,,Mazsalaca,96,,Mazsalaca,2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112548,,,Mežaparks,25,,Mežaparks,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112547,,,Milzkalne,62,,Milzkalne,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112552,,,Mālpils,94,,Mālpils,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112621,,,Mārupe,95,,Mārupe,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112549,,,Mērsrags,F1,,Mērsrags,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112546,,,Mūrmuiža,50,,Mūrmuiža,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112545,,,Naukšēni,97,,Naukšēni,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112544,,,Nereta,98,,Nereta,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112543,,,Nīca,99,,Nīca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112542,,,Ogre,21,,Ogre,26760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112541,,,Olaine,A2,,Olaine,12584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112540,,,Ozolnieki,A3,,Ozolnieki,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112519,,,Pilsrundāle,B9,,Pilsrundāle,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112538,,,Pilsrundāle,B9,,Pilsrundāle,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112537,,,Piltene,33,,Piltene,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112536,,,Piņķi,45,,Piņķi,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112534,,,Preiļi,22,,Preiļi,8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
