,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
654,,,Santa Bárbara de Nexe,09,,Santa Bárbara de Nexe,4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,,,Santa Catarina da Serra,13,,Santa Catarina da Serra,4405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,Santa Clara,07,,Santa Clara,9637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,,Santa Clara de Louredo,03,,Santa Clara de Louredo,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,,Santa Comba Dão,22,,Santa Comba Dão,11597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,Santa Cruz,10,,Santa Cruz,6010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,Santa Cruz,21,,Santa Cruz,3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,Santa Cruz da Graciosa,23,,Santa Cruz da Graciosa,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,Santa Cruz das Flores,23,,Santa Cruz das Flores,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,,Santa Cruz do Bispo,17,,Santa Cruz do Bispo,6230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,,,Santa Iria da Azóia,14,,Santa Iria da Azóia,18573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,,Santa Luzia,09,,Santa Luzia,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,,,Santa Margarida da Coutada,18,,Santa Margarida da Coutada,1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,Santa Marta de Penaguião,21,,Santa Marta de Penaguião,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,Santa Ovaia,07,,Santa Ovaia,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,Santa Vitória,03,,Santa Vitória,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,,,Santana,10,,Santana,8804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,,,Santarém,18,,Santarém,29385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,,Santiago do Cacém,19,,Santiago do Cacém,7797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,,,Santo André,16,,Santo André,11213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,,,Santo André,19,,Santo André,10601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,Santo Antão,23,,Santo Antão,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,,,Santo Antão do Tojal,14,,Santo Antão do Tojal,4156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,,,Santo António da Charneca,19,,Santo António da Charneca,11143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,,Santo António dos Olivais,07,,Santo António dos Olivais,38936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,,,Santo Isidoro,14,,Santo Isidoro,3814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,Santo Izidoro,17,,Santo Izidoro,1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,,,Santo Tirso,17,,Santo Tirso,14021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,,,Santo da Serra,10,,Santo da Serra,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,,,Santos-o-Velho,14,,Santos-o-Velho,4013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,,,Sardoal,18,,Sardoal,3939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,,,Sarilhos Pequenos,19,,Sarilhos Pequenos,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,,,Seia,11,,Seia,7082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,,,Seixal,10,,Seixal,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,,,Seixal,19,,Seixal,2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,,Selho,04,,Selho,10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,,,Semelhe,04,,Semelhe,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,,,Sendim,05,,Sendim,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,,,Senhora da Hora,17,,Senhora da Hora,28930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,,,Senhora da Luz,09,,Senhora da Luz,3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,,,Senhora do Rosário,23,,Senhora do Rosário,4937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,,Sequeira,11,,Sequeira,28502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,,,Sermonde,17,,Sermonde,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,,,Sernancelhe,22,,Sernancelhe,5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,,,Seroa,17,,Seroa,4040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,,,Serpa,03,,Serpa,6586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,,,Serra de El-Rei,13,,Serra de El-Rei,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,,,Serra do Bouro,13,,Serra do Bouro,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,,,Sertã,06,,Sertã,5636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,,,Serzedelo,04,,Serzedelo,4020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,,,Serzedo,04,,Serzedo,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,,,Serzedo,17,,Serzedo,7891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,,,Sesimbra,19,,Sesimbra,41134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,,,Sete Cidades,23,,Sete Cidades,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,,,Setúbal,19,,Setúbal,117110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,,,Sever do Vouga,02,,Sever do Vouga,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,,,Silvalde,02,,Silvalde,7188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,,,Silveira,14,,Silveira,6942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,,,Silves,09,,Silves,10917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,,,Sines,19,,Sines,12791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,,,Sintra,14,,Sintra,26193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,,,Sobrado,17,,Sobrado,6703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,,,Sobral de Monte Agraço,14,,Sobral de Monte Agraço,3406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,,,Sobralinho,14,,Sobralinho,4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,,,Sobreda,19,,Sobreda,11146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,,,Sobreira,21,,Sobreira,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,Soure,07,,Soure,8416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,,,Souto,02,,Souto,4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,,,Souto da Carpalhosa,13,,Souto da Carpalhosa,4130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,,,Sátão,22,,Sátão,4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,,,São Bartolomeu,23,,São Bartolomeu,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,,,São Bartolomeu,14,,São Bartolomeu,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,,,São Bartolomeu de Messines,09,,São Bartolomeu de Messines,8381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,,,São Brissos,03,,São Brissos,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,,,São Brás de Alportel,09,,São Brás de Alportel,11153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,,,São Domingos de Rana,14,,São Domingos de Rana,46718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,,,São Félix da Marinha,17,,São Félix da Marinha,11685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,,,São Jacinto,02,,São Jacinto,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,,,São Jorge,10,,São Jorge,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,,,São Jorge da Beira,06,,São Jorge da Beira,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,,,São João,02,,São João,6762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,,,São João da Madeira,02,,São João da Madeira,22079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,,,São João da Pesqueira,22,,São João da Pesqueira,7874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,,,São João da Talha,14,,São João da Talha,18925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,,,São João das Lampas,14,,São João das Lampas,10484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,,,São João de Areias,22,,São João de Areias,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,,,São João de Ver,02,,São João de Ver,9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,,São João dos Montes,14,,São João dos Montes,4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,,,São Julião,16,,São Julião,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,,,São Luis,03,,São Luis,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,,,São Mamede de Infesta,17,,São Mamede de Infesta,25940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,,,São Marcos da Serra,09,,São Marcos da Serra,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,,,São Martinho,10,,São Martinho,26482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,,,São Martinho do Porto,13,,São Martinho do Porto,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,São Mateus,23,,São Mateus,3757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,,,São Matias,03,,São Matias,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,São Miguel de Rio Torto,18,,São Miguel de Rio Torto,4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,,,São Miguel do Couto,17,,São Miguel do Couto,5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,,,São Pedro da Cadeira,14,,São Pedro da Cadeira,4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,,,São Pedro da Cova,17,,São Pedro da Cova,17011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,,,São Pedro de Alva,07,,São Pedro de Alva,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,,,São Pedro do Sul,22,,São Pedro do Sul,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,,,São Romão,11,,São Romão,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,,,São Romão do Coronado,17,,São Romão do Coronado,8697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,,,São Roque,23,,São Roque,4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,,,São Roque,10,,São Roque,9385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,,,São Roque,02,,São Roque,5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,,,São Roque do Pico,23,,São Roque do Pico,3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,São Sebastião,23,,São Sebastião,2096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,,,São Teotónio,03,,São Teotónio,4936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,,,São Vicente,10,,São Vicente,6063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,,,São Vicente,23,,São Vicente,2361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,,,São Vicente do Paul,18,,São Vicente do Paul,2917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
