,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
1629,,,Costache Negri,18,,Costache Negri,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,,,Costeni,25,,Costeni,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,,,Costeni,19,,Costeni,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,,,Costeşti,03,,Costeşti,10654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,,,Costeşti,11,,Costeşti,4704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,,,Costeşti,39,,Costeşti,3616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,,,Costeşti,38,,Costeşti,3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,,,Costeştii din Vale,16,,Costeştii din Vale,3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,,,Costești,07,,Costești,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,,,Costești,16,,Costești,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,,,Costești,21,,Costești,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,,,Costești,19,,Costești,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,,,Costești,23,,Costești,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,,,Costeștii din Deal,16,,Costeștii din Deal,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,,Costi,18,,Costi,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,,,Costieni,11,,Costieni,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,,,Costineşti,14,,Costineşti,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,,,Costişa,28,,Costişa,3540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,,,Costuleni,23,,Costuleni,4911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,,,Costâna,34,,Costâna,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,,,Cosâmbeşti,22,,Cosâmbeşti,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,,,Coteana,29,,Coteana,2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,,,Cotenești,03,,Cotenești,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,,,Coteşti,40,,Coteşti,4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,,,Cotești,03,,Cotești,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,,,Cotiglet,05,,Cotiglet,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,,,Cotmeana,03,,Cotmeana,2230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,,,Cotnari,23,,Cotnari,7985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,,,Cotorca,11,,Cotorca,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,,,Cotoroaia,26,,Cotoroaia,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,,,Cotoroaia,18,,Cotoroaia,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,,,Cotu,07,,Cotu,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,,,Cotu Băii,34,,Cotu Băii,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,,,Cotu Ciorii,11,,Cotu Ciorii,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,,,Cotu Miculinți,07,,Cotu Miculinți,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,,,Cotu Vameș,28,,Cotu Vameș,3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,,,Cotu Văii,14,,Cotu Văii,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,,,Cotumba,04,,Cotumba,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,,,Covaci,36,,Covaci,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,,,Covasna,15,,Covasna,10979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,,,Covasna,23,,Covasna,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,,,Covei,17,,Covei,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,,,Coverca,34,,Coverca,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,,,Coveș,33,,Coveș,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,,,Covrigi,19,,Covrigi,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,,,Covăsinţ,02,,Covăsinţ,2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,,,Coza,40,,Coza,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,,,Cozia,26,,Cozia,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,,,Cozia,23,,Cozia,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,,,Cozieni,11,,Cozieni,2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,,,Cozieni,43,,Cozieni,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,,,Cozma,27,,Cozma,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,,,Cozmeni,20,,Cozmeni,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,,,Cozmeşti,23,,Cozmeşti,3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,,,Cozmești,38,,Cozmești,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,,,Cozăneşti,34,,Cozăneşti,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,,,Coşbuc,06,,Coşbuc,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,,,Coşeiu,31,,Coşeiu,1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,,,Coşereni,22,,Coşereni,6957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,,,Coşeşti,03,,Coşeşti,5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,,,Coşoveni,17,,Coşoveni,5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,,,Coşteiu,36,,Coşteiu,3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,,,Coţofenii din Dos,17,,Coţofenii din Dos,2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,,,Coţofăneşti,04,,Coţofăneşti,3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,,,Coţuşca,07,,Coţuşca,5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,,,Coșani,39,,Coșani,1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,,,Coșdeni,05,,Coșdeni,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,,,Coșerele,30,,Coșerele,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,,,Coșna,34,,Coșna,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,,,Coșnea,04,,Coșnea,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,,,Coșoaia,35,,Coșoaia,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,,,Coșoteni,35,,Coșoteni,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,,,Coștiugeni,07,,Coștiugeni,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,,,Coștiui,25,,Coștiui,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,,,Coșula,07,,Coșula,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,,,Coțatcu,11,,Coțatcu,1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,,,Coțofanca,41,,Coțofanca,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,,,Coțofenești,30,,Coțofenești,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,,,Coțofenii din Față,17,,Coțofenii din Față,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,,,Cracăul Negru,28,,Cracăul Negru,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,,,Crai Nou,36,,Crai Nou,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,,,Craidorolţ,32,,Craidorolţ,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,,,Crainimăt,06,,Crainimăt,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,,,Craiova,17,,Craiova,304142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,,,Craiva,02,,Craiva,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,,,Crasna,15,,Crasna,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,,,Crasna,19,,Crasna,5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,,,Crasna,31,,Crasna,6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,,,Crasna Vișeului,25,,Crasna Vișeului,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,,,Crasna din Deal,19,,Crasna din Deal,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,,,Crasnaleuca,07,,Crasnaleuca,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,,,Creaca,31,,Creaca,2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,,,Cresuia,05,,Cresuia,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,,,Crevedia,16,,Crevedia,6674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,,,Crevedia Mare,42,,Crevedia Mare,4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,,,Crevedia Mică,42,,Crevedia Mică,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,,,Crevenicu,35,,Crevenicu,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,,,Creţeni,39,,Creţeni,2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,,,Crețești,38,,Crețești,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,,,Crețești,43,,Crețești,2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,,,Crețeștii de Sus,38,,Crețeștii de Sus,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,,,Crețu,16,,Crețu,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,,,Criciova,36,,Criciova,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,,,Cricău,01,,Cricău,2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,,,Crihalma,09,,Crihalma,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,,,Cristeşti,07,,Cristeşti,4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,,,Cristeşti,23,,Cristeşti,4273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,,,Cristeşti,27,,Cristeşti,5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,,,Cristești,23,,Cristești,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,,,Cristești,23,,Cristești,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
