,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
2990,,,Reingers,03,,Reingers,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989,,,Reinsberg,03,,Reinsberg,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,,,Reisenberg,03,,Reisenberg,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,,,Reitberg,05,,Reitberg,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,,,Reitdorf,05,,Reitdorf,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986,,,Reiterndorf,04,,Reiterndorf,2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,,,Reith,04,,Reith,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4802,,,Reith,04,,Reith,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,,,Reith bei Kitzbühel,07,,Reith bei Kitzbühel,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,,,Reith bei Seefeld,07,,Reith bei Seefeld,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,,,Reith im Alpbachtal,07,,Reith im Alpbachtal,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,,,Rekawinkel,03,,Rekawinkel,783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,,,Rennweg am Katschberg,02,,Rennweg am Katschberg,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,,,Rettenbach,04,,Rettenbach,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,,,Rettenegg,06,,Rettenegg,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,,,Rettenschöss,07,,Rettenschöss,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
