,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
41718,,,Merzkirchen,08,,Merzkirchen,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41717,,,Merzweiler,08,,Merzweiler,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41716,,,Meschede,07,,Meschede,32224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41715,,,Mescherin,11,,Mescherin,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41714,,,Mesekenhagen,12,,Mesekenhagen,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41713,,,Mesenich,08,,Mesenich,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48141,,,Mespelbrunn,02,,Mespelbrunn,2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41711,,,Messel,05,,Messel,3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41710,,,Messenkamp,06,,Messenkamp,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41709,,,Messerich,08,,Messerich,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41708,,,Messingen,06,,Messingen,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41705,,,Mestlin,12,,Mestlin,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41704,,,Metelen,07,,Metelen,6490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41703,,,Metten,02,,Metten,4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41702,,,Mettendorf,08,,Mettendorf,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41701,,,Mettenheim,02,,Mettenheim,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41700,,,Mettenheim,08,,Mettenheim,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41699,,,Metterich,08,,Metterich,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41698,,,Mettingen,07,,Mettingen,12532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41697,,,Mettlach,09,,Mettlach,3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41696,,,Mettmann,07,,Mettmann,39550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41695,,,Mettweiler,08,,Mettweiler,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41694,,,Metzels,15,,Metzels,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41693,,,Metzenhausen,08,,Metzenhausen,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41692,,,Metzingen,01,,Metzingen,22112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41691,,,Meudt,08,,Meudt,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41690,,,Meura,15,,Meura,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41689,,,Meuro,14,,Meuro,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41688,,,Meusebach,15,,Meusebach,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41687,,,Meuselbach,15,,Meuselbach,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41686,,,Meuselwitz,15,,Meuselwitz,9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41685,,,Meuspath,08,,Meuspath,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41684,,,Meyenburg,11,,Meyenburg,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41683,,,Meyn,10,,Meyn,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41712,,,Meßdorf,14,,Meßdorf,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41707,,,Meßkirch,01,,Meßkirch,8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41706,,,Meßstetten,01,,Meßstetten,11132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41682,,,Michelau,02,,Michelau,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41681,,,Michelau,02,,Michelau,6839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41679,,,Michelbach,08,,Michelbach,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41680,,,Michelbach,08,,Michelbach,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41678,,,Michelbach an der Bilz,01,,Michelbach an der Bilz,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41677,,,Michelfeld,01,,Michelfeld,3638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41676,,,Micheln,14,,Micheln,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41675,,,Michelsneukirchen,02,,Michelsneukirchen,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41674,,,Michelstadt,05,,Michelstadt,17279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41673,,,Michendorf,11,,Michendorf,10743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41672,,,Mickhausen,02,,Mickhausen,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41671,,,Midlum,06,,Midlum,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41670,,,Midlum,10,,Midlum,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41669,,,Miehlen,08,,Miehlen,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41668,,,Mielkendorf,10,,Mielkendorf,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41667,,,Miellen,08,,Miellen,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41666,,,Miesbach,02,,Miesbach,11354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41665,,,Miesitz,15,,Miesitz,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41664,,,Mieste,14,,Mieste,2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41663,,,Miesterhorst,14,,Miesterhorst,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41662,,,Mietingen,01,,Mietingen,3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41661,,,Mihla,15,,Mihla,2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41660,,,Milda,15,,Milda,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41659,,,Mildenau,13,,Mildenau,3749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41658,,,Mildstedt,10,,Mildstedt,3697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41657,,,Milmersdorf,11,,Milmersdorf,1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41656,,,Miltach,02,,Miltach,2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
