,ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,"WHITE,HISPANIC","BLACK,ASIAN","NATIVE,OTHER",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGRE
77605,,,Acton Burnell,ENG,,Acton Burnell,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77604,,,Acton Trussell,ENG,,Acton Trussell,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77603,,,Adderbury,ENG,,Adderbury,2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78183,,,Addiebrownhill,SCT,,Addiebrownhill,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77602,,,Addingham,ENG,,Addingham,3730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77601,,,Addington,ENG,,Addington,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77600,,,Addlestone,ENG,,Addlestone,14978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77869,,,Adlington,ENG,,Adlington,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77599,,,Adlington,ENG,,Adlington,7965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77598,,,Adwick le Street,ENG,,Adwick le Street,19481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77597,,,Ahoghill,NIR,,Ahoghill,3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78168,,,Ailsworth,ENG,,Ailsworth,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77596,,,Airdrie,SCT,,Airdrie,37130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77595,,,Airmyn,ENG,,Airmyn,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77594,,,Airth,SCT,,Airth,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77593,,,Akeley,ENG,,Akeley,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72775,,,Akrotiri,05,,Akrotiri,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77592,,,Albrighton,ENG,,Albrighton,4829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77591,,,Albury,ENG,,Albury,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77590,,,Alcester,ENG,,Alcester,6939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77589,,,Alconbury,ENG,,Alconbury,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77588,,,Aldbourne,ENG,,Aldbourne,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77587,,,Aldbrough,ENG,,Aldbrough,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77586,,,Aldbury,ENG,,Aldbury,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77585,,,Aldeburgh,ENG,,Aldeburgh,2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77584,,,Alderbury,ENG,,Alderbury,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77583,,,Alderholt,ENG,,Alderholt,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77582,,,Alderley Edge,ENG,,Alderley Edge,4408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77581,,,Aldershot,ENG,,Aldershot,61339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77580,,,Aldford,ENG,,Aldford,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77579,,,Aldington,ENG,,Aldington,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77578,,,Aldridge,ENG,,Aldridge,16008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77577,,,Alexandria,SCT,,Alexandria,6940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78132,,,Alfold Crossways,ENG,,Alfold Crossways,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77576,,,Alford,ENG,,Alford,3459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77575,,,Alford,SCT,,Alford,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
