STATE,ST,TIMEZONE,TZ
England,ENG,Greenwich Mean Time,GMT
Northern Ireland,NIR,Greenwich Mean Time,GMT
Scotland,SCT,Greenwich Mean Time,GMT
Wales,WLS,Greenwich Mean Time,GMT
